2022-09-26 09:52:01 :: INFO :: Dispatching - Received 8 msg/s , sent 0 msg/s
2022-09-26 09:52:02 :: INFO :: Dispatching - Received 8 msg/s , sent 0 msg/s
2022-09-26 09:52:03 :: INFO :: Dispatching - Received 8 msg/s , sent 0 msg/s
2022-09-26 09:52:04 :: INFO :: Dispatching - Received 7 msg/s , sent 0 msg/s
2022-09-26 09:52:05 :: INFO :: Dispatching - Received 8 msg/s , sent 0 msg/s
2022-09-26 09:52:06 :: INFO :: Dispatching - Received 8 msg/s , sent 0 msg/s
2022-09-26 09:52:07 :: INFO :: Dispatching - Received 7 msg/s , sent 0 msg/s
2022-09-26 09:52:08 :: INFO :: Dispatching - Received 7 msg/s , sent 0 msg/s
2022-09-26 09:52:09 :: INFO :: Dispatching - Received 7 msg/s , sent 0 msg/s
2022-09-26 09:52:10 :: INFO :: Dispatching - Received 7 msg/s , sent 0 msg/s
2022-09-26 09:52:11 :: INFO :: Dispatching - Received 8 msg/s , sent 0 msg/s
2022-09-26 09:52:12 :: INFO :: Dispatching - Received 7 msg/s , sent 0 msg/s
2022-09-26 09:52:13 :: INFO :: Dispatching - Received 8 msg/s , sent 0 msg/s
2022-09-26 09:52:14 :: INFO :: Dispatching - Received 6 msg/s , sent 0 msg/s
2022-09-26 09:52:15 :: INFO :: Dispatching - Received 8 msg/s , sent 0 msg/s
2022-09-26 09:52:16 :: INFO :: Dispatching - Received 7 msg/s , sent 0 msg/s
2022-09-26 09:52:17 :: INFO :: Dispatching - Received 7 msg/s , sent 0 msg/s
2022-09-26 09:52:18 :: INFO :: Dispatching - Received 8 msg/s , sent 0 msg/s
2022-09-26 09:52:19 :: INFO :: Dispatching - Received 7 msg/s , sent 0 msg/s
2022-09-26 09:52:20 :: INFO :: Dispatching - Received 8 msg/s , sent 0 msg/s
2022-09-26 09:52:21 :: INFO :: Dispatching - Received 8 msg/s , sent 0 msg/s
2022-09-26 09:52:32 :: INFO :: waiting for new data ... 
2022-09-26 09:52:33 :: INFO :: Dispatching - Received 8 msg/s , sent 3 msg/s
2022-09-26 09:52:34 :: INFO :: Dispatching - Received 8 msg/s , sent 0 msg/s
2022-09-26 09:52:35 :: INFO :: Dispatching - Received 7 msg/s , sent 0 msg/s
